ticker,candidate_cache,identity_status,effective_date,candidate_exists,candidate_coverage_gain_pp,candidate_cache_sha256,price_series_approved,notes
BK,BNY,RENAME_SUPPORTED_BY_PRIMARY_SOURCE,2026-05-21,True,0.1981720241649178,0c27692a3d4e84963c3ac5d76e5881972364467ee682fb308e093b0e9a877c0f,False,"Issuer says legal name, capital structure, CUSIPs and rights unchanged; OCC notice confirms date."
MMC,MRSH,RENAME_SUPPORTED_BY_PRIMARY_SOURCE,2026-01-14,True,0.19523760118251698,9284059e31a30e6c88ef5ef185b135a7c3d95fff0d15348228cbe5d2911485f7,False,Issuer says legal name and CUSIP unchanged.
CMA,CMA,NO_LOCAL_TARGET_CACHE_AND_NOT_VALIDATED,,False,,,False,Hypothesis only; no recovery approved.
ABC,COR,RENAME_SUPPORTED_BY_PRIMARY_SOURCE,2023-08-30,True,0.17323088438146655,d37d6a79219ba40d07a92cc7c16d9e5244e1ff371bffc0a57277c8afbf925d6e,False,Issuer confirms name and stock-symbol change; OCC notice confirms common-share deliverable.
PKI,RVTY,RENAME_SUPPORTED_BY_PRIMARY_SOURCE,2023-05-16,True,0.17103006714466595,3f2b680c35a39f3c40d3632d28d22557c104d9681f0c690be509442c74f0cda6,False,Issuer confirms formerly NYSE PKI and new RVTY trading date; significant prior business disposal remains a corporate-action validation concern.
ANTM,ELV,RENAME_SUPPORTED_BY_PRIMARY_SOURCE,2022-06-28,True,0.16296040394306377,5f011cefadb6098b1dc3219de3202943779ccb08e81e078015f99f0a3876d9fa,False,SEC filing and exchange corporate-action notice document Anthem to Elevance Health.
BLL,BALL,RENAME_SUPPORTED_BY_PRIMARY_SOURCE,2022-05-10,True,0.1614946480188189,a225c0ed3ef0acb5b687ddc8488fe8efa323ebd1127b7af1efae384bf8ad6566,False,"Issuer confirms BLL to BALL, no shareholder action required."
GPS,GAP,NO_LOCAL_TARGET_CACHE_AND_NOT_VALIDATED,,False,,,False,Hypothesis only; no recovery approved.
MYL,VTRS,MERGER_SPINOFF_OR_IDENTITY_UNRESOLVED,,True,0.1476098910665818,6eb38ad9141e41377422d2b6d885a52827a2b38f39ef72488ad939c8f3c16b62,False,Do not substitute successor history without security-level continuity and corporate-action evidence.
CTL,LUMN,RENAME_SUPPORTED_BY_SECONDARY_SOURCE_ONLY,2020-09-18,True,0.14614849031396038,c23c294003a7d5259a37ea7b744933673fced86db0fb0673382d151c09af5d13,False,Primary issuer/SEC source was not retrieved in this investigation.
