date,current_260_complete,current_missing_count,local_sheepb_260_dates_complete,2017_11_08_inside_window,interpretation
2008-11-21,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2008-12-22,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2009-01-22,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2009-02-20,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2009-03-20,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2009-04-20,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2009-05-18,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2009-06-16,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2009-07-15,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2009-08-12,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2009-09-10,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2009-10-08,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2009-11-05,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2009-12-04,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2010-01-05,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2010-02-03,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2010-03-04,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2010-04-01,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2010-04-30,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2010-05-28,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2010-06-28,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2010-07-27,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2010-08-24,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2010-09-22,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2010-10-20,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2010-11-17,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2010-12-16,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2011-01-14,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2011-02-14,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
