date,source_Close,previous_source_Close,source_Adj_Close,factor_ratio,implied_cash_diagnostic_only_NOT_APPROVED,event_in_wiki_cash_column,within_member_tail,within_normal_exit_tail,cash_approved
2006-02-13,40.88999938964844,41.41999816894531,36.16301727294922,1.0009666593436086,0.04000036151905407,0.04,False,False,False
2006-05-11,43.59000015258789,44.27000045776367,38.58574676513672,1.0009044142272312,0.04000223965886229,0.04,False,False,False
2006-08-11,39.279998779296875,39.75,34.80559158325195,1.0010075183606197,0.04000854549047109,0.04,False,False,False
2006-11-13,35.77000045776367,36.349998474121094,31.730314254760746,1.0011012654950846,0.03998696280353931,0.04,False,False,False
2007-02-13,36.88999938964844,36.93000030517578,32.759300231933594,1.0010839798079336,0.03998802842242574,0.04,False,False,False
2007-05-11,39.209999084472656,38.68000030517578,34.8555908203125,1.0010350912687358,0.03999593115146719,0.04,False,False,False
2007-08-13,36.849998474121094,37.15999984741211,32.792972564697266,1.0010772106022017,0.03998607239232498,0.04,False,False,False
2007-11-13,40.220001220703125,39.810001373291016,35.82795333862305,1.0010057898420723,0.040000263135798124,0.04,False,False,False
2008-02-13,45.34000015258789,44.7400016784668,40.44306564331055,1.0013427637867143,0.059994695367045235,0.06,False,False,False
2008-05-13,68.66000366210938,67.69999694824219,61.29874420166016,1.0008868565809743,0.059986987970438124,0.06,False,False,False
2008-08-13,54.220001220703125,49.86000061035156,48.46522521972656,1.0012050264808339,0.06001030706073365,0.06,False,False,False
2008-11-12,28.700000762939453,30.84000015258789,25.703861236572266,1.001949172580231,0.05999554100827392,0.06,False,False,False
2009-02-11,24.309999465942383,25.600000381469727,21.82330322265625,1.0023492380750025,0.05999954240672422,0.06,False,False,False
2009-05-13,27.5,29.450000762939453,24.73739242553711,1.0020413632269891,0.05999567562626513,0.06,False,False,False
2009-08-12,38.810001373291016,38.290000915527344,34.96599578857422,1.001569314111407,0.059994887938270076,0.06,False,False,False
2009-11-10,46.36000061035156,46.59000015258789,41.82206726074219,1.001289872135182,0.060017727780262674,0.06,False,False,False
2010-02-10,54.0099983215332,54.34000015258789,48.777099609375,1.00110551336518,0.06000725760727994,0.06,False,False,False
2010-05-12,71.58000183105469,68.16000366210938,64.72074127197266,1.0011750027472452,0.07999419815263137,0.08,False,False,False
2010-08-11,67.54000091552734,71.33999633789062,61.13643264770508,1.0011225152574859,0.07999044386457581,0.08,False,False,False
2010-11-10,81.88999938964844,81.79000091552734,74.19845581054688,1.0009788863663722,0.07998482075122759,0.08,False,False,False
2011-02-11,105.87000274658205,105.66000366210938,95.99884796142578,1.0007577435061226,0.08000256021138123,0.08,False,False,False
2011-05-11,92.6500015258789,96.5500030517578,84.09855651855469,1.00103692832789,0.10001172822810206,0.1,False,False,False
2011-08-11,68.06999969482422,65.91000366210938,61.881126403808594,1.001519410893273,0.09999244792525265,0.1,False,False,False
2011-11-10,64.81999969482422,63.619998931884766,59.01939392089844,1.0015745682351307,0.1000165465599912,0.1,False,False,False
2012-02-13,67.13999938964844,66.93000030517578,61.223262786865234,1.0014964627721645,0.10000859465885582,0.1,False,False,False
2012-05-11,63.34000015258789,65.27999877929688,57.864498138427734,1.0018414339379051,0.11998785550933559,0.12,False,False,False
2012-08-13,62.02000045776367,62.70000076293945,56.76725769042969,1.0019175141889454,0.1199980431594147,0.12,False,False,False
2012-11-13,59.93000030517578,59.72999954223633,54.964691162109375,1.0020130746043248,0.11999937749543267,0.12,False,False,False
2013-02-13,67.75,67.0,62.24825668334961,1.0017938922614218,0.11997555828968487,0.12,False,False,False
